key,input,activity10
ZKIAIYBUSXZPLP-UHFFFAOYSA-N,s1c2c(cc1)c(N1CCN(CC1)CCCCOc1cc3NC(=O)C=Cc3cc1)ccc2,0.8514851485148515
BNIILDVGGAEEIG-UHFFFAOYSA-L,P(O)(=O)([O-])[O-].[Na+].[Na+],
QEEAPRPFLLJWCF-UHFFFAOYSA-K,[K+].[K+].[K+].OC(CC(=O)[O-])(CC(=O)[O-])C(=O)[O-],
HCFSGRMEEXUOSS-JXEXPEPMSA-N,O=C1CC[C@@]2([C@@H]3[C@H]([C@@H]4CC[C@@](C(=O)C)(C)[C@]4(CC3)C)C=C(C2=C1)C)C,0.17945544554455445
AZFLJNIPTRTECV-FUMNGEBKSA-N,O=C1CCC=2C(=C1)CC[C@H]1[C@@H]3CC[C@@](O)(CC#N)[C@]3(CCC1=2)C,0.3042079207920792
YKPUWZUDDOIDPM-VURMDHGXSA-N,O(C)c1cc(ccc1O)CNC(=O)CCCC\C=C/C(C)C,0.15717821782178218
QIALRBLEEWJACW-INIZCTEOSA-N,O(C(=O)C)[C@H]1Cc2c(N(c3c1cccc3)C(=O)N)cccc2,0.19554455445544555
IBLNKMRFIPWSOY-FNORWQNLSA-N,O1c2cc(ccc2OC1)\C=C\C(O)C(C)(C)C,0.21922442244224422
SQYNKIJPMDEDEG-UHFFFAOYSA-N,O1C(OC(OC1C)C)C,0.13613861386138615
ZZOBQLACMMNMCT-UHFFFAOYSA-L,[Ca+2].OC(CC(=O)[O-])(CC(O)=O)C(=O)[O-].N(C#N)C,0.05775577557755776
UXZFQZANDVDGMM-UHFFFAOYSA-N,Ic1cc(I)c2c(nccc2)c1O,0.2260726072607261
KILNVBDSWZSGLL-KXQOOQHDSA-N,P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC)(=O)[O-],0.2866749174917492
LPXPTNMVRIOKMN-UHFFFAOYSA-M,[Na+].O=N[O-],0.039603960396039604
XOGTZOOQQBDUSI-UHFFFAOYSA-M,S(=O)(=O)([O-])CCS.[Na+],0.2103960396039604
VTHJTEIRLNZDEV-UHFFFAOYSA-L,[Mg+2].[OH-].[OH-],
BVZLLUDATICXCI-JMSCDMLISA-N,Cl.Cl.O(C(O)=N[C@@H](C(C)C)C(=O)N1CCC[C@H]1c1[nH]c(cn1)-c1ccc(cc1)-c1ccc(cc1)-c1[nH]c(nc1)[C@H]1N(CCC1)C(=O)[C@@H](N=C(OC)O)C(C)C)C,0.3910891089108911
JUZYLCPPVHEVSV-LJQANCHMSA-N,Clc1cccc(Cc2cc3c(N(C=C(C(O)=O)C3=O)[C@@H](C(C)C)CO)cc2OC)c1F,0.26584158415841586
NHXLMOGPVYXJNR-UHFFFAOYSA-N,S1SCC(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(N)C)C1)CCCCN)CC(=O)N)Cc1ccccc1)Cc1ccccc1)Cc1c2c([nH]c1)cccc2)CCCCN)C(O)C)Cc1ccccc1)C(O)C)CO)C(O)=O,0.6069306930693069
